Default Address 1,Default Address 2 (In case it has),Default City,Default Postal,Default State Province,USGS Region
2025 South Gordon Cooper Drive,,Shawnee,74801,OK,Southwest
101 East Broadway,,Wetumka,74883,OK,Southwest
511 East Colorado,,Anadarko,73005,OK,Southwest
117 Memorial Ln,,Binger,73009,OK,Southwest
17675 South Muskogee Avenue,,Tahlequah,74464,OK,Southwest
100 Red Moon Circle,,Concho,73022,OK,Southwest
520 East Arlington,,Ada,74820,OK,Southwest
1802 Chukka Hina Dr,,Durant,74701,OK,Southwest
1601 South Gordon Cooper Drive,,Shawnee,74801,OK,Southwest
584 NW Bingo Road,,Elgin,73507,OK,Southwest
"31064 US-281, Bldg 100",,Anadarko,73005,OK,Southwest
5100 Tuxedo Blvd.,,Bartlesville,74006,OK,Southwest
12755 S. 705 Rd,,Wyandotte,74370,OK,Southwest
43187 US-281,,Apache,73006,OK,Southwest
335588 East 750 Road,,Perkins,74059,OK,Southwest
698 Grandview Drive,,Kaw City,74641,OK,Southwest
627 East Highway 9,,Wetumka,74883,OK,Southwest
105365 South Highway 102,,McCloud,74851,OK,Southwest
100 Kiowa Way,,Carnegie,73015,OK,Southwest
202 South Eight Tribes Trail,,Miami,74354,OK,Southwest
8151 US-177,,Red Rock,74651,OK,Southwest
13 S Hwy. 69A,,Miami,74354,OK,Southwest
881 Little Dee Drive,,Pawnee,74058,OK,Southwest
118 South Eight Tribes Trail,,Miami,74355,OK,Southwest
20 White Eagle Drive,,Ponca City,74601,OK,Southwest
5681 S. 630 Rd,,Quapaw,74363,OK,Southwest
920883 S. Highway 99,Building A,Stroud,74079,OK,Southwest
23701 South 655 Road,,Grove,74344,OK,Southwest
29 S Highway 69A,,Miami,74354,OK,Southwest
22 N. Eight Tribes Trail,,Miami,74354,OK,Southwest
1007 East Eufaula Street,,Okmulgee,74447,OK,Southwest
627 Grandview,,Pawhuska,74056,OK,Southwest
5681 South 630 Road,,Quapaw,74364,OK,Southwest
36645 US-270,,Wewoka,74884,OK,Southwest
109009 N. 3830 Rd,,Okemah,74859,OK,Southwest
1 Rush Buffalo Road,,Tonkawa,74653-4449,OK,Southwest
2450 South Muskogee Avenue,,Tahlequah,74464,OK,Southwest
N/A,,Washito,73005,OK,Southwest
64700 East Highway 60,,Wyandotte,74370,OK,Southwest
"13533 US-64,",,Dulce,87528,OK,Southwest
Tesuque Street,,Santo Domingo Pueblo,87052,OK,Southwest
101 Central Avenue,,Mescalero,88340,OK,Southwest
220 Poepay Avenue,,Ohkay Owingeh,87566,OK,Southwest
25 Pinsbaari Drive,,Acoma,87034,OK,Southwest
255 Cochiti Street,,Cochiti,87072,OK,Southwest
117 Tribal Road 40,,Isleta,87022,OK,Southwest
4471 NM-4,,Jemez Pueblo,87024,OK,Southwest
22 Capital Rd,,Laguna,87026,OK,Southwest
15-A NP 102 West,,Santa Fe,75406,OK,Southwest
State Highway 75,,Penasco,87533,OK,Southwest
78 Cities of Gold Road,,Santa Fe,87506,OK,Southwest
127 Hagen Road,,San Felipe Pueblo,87001,OK,Southwest
2 Tunyo Po,,Santa Fe,87506,OK,Southwest
481 Sandia Loop,,Bernalillo,87004,OK,Southwest
2 Dove Road,,Santa Ana Pueblo,87004,OK,Southwest
578 Kee St,,Española,87532,OK,Southwest
120A Veterans Highway,,Taos,87571,OK,Southwest
TP 804,,Santa Fe,87506,OK,Southwest
135 Capitol Square Drive,,Zia Pueblo,87053-6013,OK,Southwest
Indian Service Rte 125,,Ramah,87321,OK,Southwest
1203B State Highway 53,,Zuni,87327,OK,Southwest
42507 W. Peters,,Maricopa,85138,OK,Southwest
14515S Veterans Dr,,Somerton,85350,OK,Southwest
26600 Mohave Road,,Parker,85344,OK,Southwest
17661 East Yavapai Road,,Fort McDowell,85264,OK,Southwest
525 West Gu u Ki,,Sacaton,85147,OK,Southwest
13067 AZ-66,,Valentine,86437,OK,Southwest
123 Main Street,,Kykotsmovi,86039,OK,Southwest
941 Hualapai Way,,Peach Springs,86434,OK,Southwest
